Sitio,species,no_species,Tipo,Elevation,Pair,harvested
AL-N,,3,N,542,1,Yes
AZ-C,,3,C,356,4,Yes
AZ-N,,2,N,351,4,Yes
DB-C,,4,C,365,15,Yes
DB-N,,8,N,377,15,Yes
DG-B,,6,B,535,6,No
DG-C,,3,C,559,6,Yes
DG-N,,2,N,504,6,Yes
DG-V,,7,V,546,5,No
FCAT-B1,,6,B,470,13,No
FCAT-B2,,9,B,500,9,No
FCAT-B3,,4,B,420,12,No
FCAT-V1,,6,V,489,13,No
FCAT-V2,,3,V,490,9,No
FLL-B,,3,B,350,14,No
FLL-C,,6,C,360,14,Yes
FLL-V,,8,V,356,14,No
GP-C,,3,C,338,11,Yes
GP-N,,4,N,355,11,Yes
JS-N,,7,N,342,14,Yes
JZ-C,,6,C,513,8,Yes
JZ-N,,4,N,515,8,Yes
JZJ-C,,3,C,520,1,Yes
LG-C,,6,C,410,3,Yes
LG-N,,5,N,416,3,Yes
LL-C,,2,C,482,7,Yes
LL-N,,1,N,504,7,Yes
PM-C,,6,C,428,2,Yes
PM-N,,3,N,449,2,Yes
PV-N,,5,N,347,10,Yes
VC-C,,2,C,375,10,Yes
VC-N,,3,N,333,10,Yes
